Date,Last Year Quantity,Avg Last Year,Average Temperature (°C),Average Dew Point (°C),Average Humidity (%),Average Wind Speed (km/h),Average Pressure (hPa),Quantity,Max Rate,Year,Month,Day,Variety_Mishrathali,Disease_Flacherie,Disease_Grasserie,Disease_Muscardine,Disease_Nematodes and Parasitic Worms,Disease_Pebrine,Disease_Uzi Fly
2021-04-02,3.0,304.0,27.9,8.9,35.2,9.7,906.5,10.885,369.0,2021,4,2,True,True,False,False,False,False,False
2021-04-02,9.83,380.0,27.9,8.9,35.2,9.7,906.5,19.078,456.0,2021,4,2,False,True,False,False,False,False,False
2021-04-03,18.701,332.0,28.3,14.9,48.6,10.5,907.4,22.601,467.0,2021,4,3,False,True,False,False,False,False,False
2021-04-03,7.682,303.0,28.3,14.9,48.6,10.5,907.4,12.982,362.0,2021,4,3,True,True,False,False,False,False,False
2021-04-04,9.618,311.0,28.6,12.6,41.0,10.0,908.4,11.832,395.0,2021,4,4,True,True,False,False,False,False,False
2021-04-04,15.608,330.0,28.6,12.6,41.0,10.0,908.4,16.25,463.0,2021,4,4,False,True,False,False,False,False,False
2021-06-01,10.278,279.0,26.2,18.8,65.5,15.0,906.8,7.436,470.0,2021,6,1,False,False,False,False,False,False,True
2021-06-01,17.216,211.0,26.2,18.8,65.5,15.0,906.8,7.92,376.0,2021,6,1,True,False,False,False,False,False,True
2021-06-02,8.763,298.0,25.3,20.5,76.4,9.6,907.1,8.648,486.0,2021,6,2,False,False,False,False,False,False,True
2021-06-02,15.523,220.0,25.3,20.5,76.4,9.6,907.1,9.772,390.0,2021,6,2,True,False,False,False,False,False,True
2021-06-03,13.033,220.0,23.8,20.7,84.0,8.4,908.2,10.323,398.0,2021,6,3,True,False,False,False,False,False,True
2021-06-03,13.52,290.0,23.8,20.7,84.0,8.4,908.2,23.164,500.0,2021,6,3,False,False,False,False,False,False,True
2021-06-04,12.473,204.0,23.7,20.6,85.0,7.2,908.5,9.919,396.0,2021,6,4,True,False,False,False,False,False,True
2021-06-04,20.02,266.0,23.7,20.6,85.0,7.2,908.5,16.48,480.0,2021,6,4,False,False,False,False,False,False,True
2021-06-05,12.38,210.0,23.8,20.4,82.9,12.2,908.0,9.165,389.0,2021,6,5,True,False,False,False,False,False,True
2021-06-05,13.08,275.0,23.8,20.4,82.9,12.2,908.0,11.784,485.0,2021,6,5,False,False,False,False,False,False,True
2021-06-06,16.386,264.0,24.8,19.3,72.5,13.3,908.0,9.445,472.0,2021,6,6,False,False,False,False,False,False,True
2021-06-06,14.492,211.0,24.8,19.3,72.5,13.3,908.0,8.33,373.0,2021,6,6,True,False,False,False,False,False,True
2021-06-07,10.592,271.0,26.2,18.1,62.0,10.0,908.1,15.439,468.0,2021,6,7,False,False,False,False,False,False,True
2021-06-07,10.819,215.0,26.2,18.1,62.0,10.0,908.1,7.616,386.0,2021,6,7,True,False,False,False,False,False,True
2021-06-08,16.017,280.0,25.5,16.9,60.9,16.8,907.5,9.562,499.0,2021,6,8,False,False,False,False,False,False,True
2021-06-08,9.984,225.0,25.5,16.9,60.9,16.8,907.5,8.214,392.0,2021,6,8,True,False,False,False,False,False,True
2021-06-09,12.901,227.0,23.9,17.5,69.6,21.9,906.9,8.503,370.0,2021,6,9,True,False,False,False,False,False,True
2021-06-09,13.892,292.0,23.9,17.5,69.6,21.9,906.9,15.904,481.0,2021,6,9,False,False,False,False,False,False,True
2021-06-10,17.47,225.0,24.5,18.4,69.7,23.3,906.0,9.022,395.0,2021,6,10,True,False,False,False,False,False,True
2021-06-10,8.829,308.0,24.5,18.4,69.7,23.3,906.0,10.136,470.0,2021,6,10,False,False,False,False,False,False,True
2021-06-11,13.322,303.0,24.2,17.6,68.0,28.2,906.0,10.548,512.0,2021,6,11,False,False,False,False,False,False,True
2021-06-11,17.59,213.0,24.2,17.6,68.0,28.2,906.0,10.069,446.0,2021,6,11,True,False,False,False,False,False,True
2021-06-12,7.711,322.0,23.5,18.7,75.2,26.0,906.1,15.539,496.0,2021,6,12,False,False,False,False,False,False,True
2021-06-12,16.285,218.0,23.5,18.7,75.2,26.0,906.1,10.398,440.0,2021,6,12,True,False,False,False,False,False,True
2021-06-13,11.357,310.0,22.6,18.6,78.4,25.4,905.9,13.731,505.0,2021,6,13,False,False,False,False,False,False,True
2021-06-13,15.631,225.0,22.6,18.6,78.4,25.4,905.9,8.143,362.0,2021,6,13,True,False,False,False,False,False,True
